filename,num_vertices,mean_distance,std_distance,min_distance,max_distance
obj_01.ply,5841,0.08705096748844321,0.048391335760304605,0.0002396342564619399,0.3457280540062961
obj_02.ply,38325,0.08684349009655555,0.050455548880257634,0.0010231024600018388,0.4573369073382646
obj_03.ply,40759,0.08841049396423487,0.04652446964499865,0.0007200346475049073,0.3590643060248157
obj_04.ply,18995,0.08423172918678554,0.053260535808209025,0.0003978777035693257,0.4110609362147198
obj_05.ply,22831,0.0851006178282563,0.05181430414924979,0.0002331647374232189,0.3930815078727774
obj_06.ply,15736,0.08798420857113814,0.04914326488028065,0.0011459410308036096,0.3864136454563562
obj_07.ply,16573,0.08764754793744375,0.04939567413550582,0.001568801227598932,0.38319456415644376
obj_08.ply,12655,0.0853936837764652,0.05206533499987132,0.0006152365521776266,0.4048374712611123
obj_09.ply,7912,0.08665989925843204,0.05023522093218854,0.00013653827372012308,0.36695794524312797
obj_10.ply,18473,0.08659427266635196,0.04963386494974299,0.0007817777192276538,0.3721498780119541
obj_11.ply,7479,0.08255434899490902,0.05554940629902092,0.0005040919261192485,0.35808220949666586
obj_12.ply,15972,0.0853182660756463,0.05074587923225323,0.0009558310977286944,0.47128148134710396
obj_13.ply,18216,0.08582094922341224,0.05213900620887963,0.0006590031026290234,0.40724057817688686
obj_14.ply,27435,0.07590245750396556,0.05715012335863265,0.0,0.3970446699292712
obj_15.ply,16559,0.08611341932866184,0.051107263788327216,0.0008413902165004822,0.39097569857837117
