filename,num_vertices,mean_distance,std_distance,min_distance,max_distance
obj_01.ply,5841,3.294350296745783,2.0281206578343984,0.0722588189146963,15.675319774737668
obj_02.ply,38325,6.795063424199828,4.823726127298032,0.07126131774221625,40.2673542025863
obj_03.ply,40759,5.89514386837082,3.5294880772591775,0.07423693485790125,33.09691616544498
obj_04.ply,18995,5.639667968891624,3.492258911706589,0.05852751452136896,28.100874113046444
obj_05.ply,22831,6.165611637367217,4.094041169435324,0.039684289431012876,37.765961607942074
obj_06.ply,15736,4.250249185091068,2.7609744385548463,0.012886426824104442,22.692759912634436
obj_07.ply,16573,3.9834312518343946,2.4410741479948483,0.06092474152332958,20.23490532187746
obj_08.ply,12655,7.4051243975174454,5.109708356531505,0.08924745819998361,38.07789128343893
obj_09.ply,7912,3.698752413826754,2.3000247751311123,0.12458401761251336,17.16204831946881
obj_10.ply,18473,4.9147787286008535,3.038867935208718,0.1013198542490369,23.647212036483698
obj_11.ply,7479,4.445701397627105,3.382411581746431,0.05777287800144956,24.433196054156785
obj_12.ply,15972,4.328264617617265,2.4833488084627704,0.04339174447786639,19.563466601139897
obj_13.ply,18216,7.2611860789663245,4.823424303402725,0.0733023744842131,38.79379077335013
obj_14.ply,27435,7.6917567321347935,5.196079954617002,0.08114085853585488,44.64834955705908
obj_15.ply,16559,6.3984350415198366,4.158343739264129,0.02499465516283554,37.390572286429695
