filename,num_vertices,mean_distance,std_distance,min_distance,max_distance
obj_01.ply,5841,0.0031035189753241942,0.023816400738415407,0.0,0.3395099856036321
obj_02.ply,38325,0.0031468825110977537,0.024004951439395846,0.0,0.39000102399867476
obj_03.ply,40759,0.0032620728216442357,0.024745462613084558,0.0,0.3969183438917608
obj_04.ply,18995,0.003188494839408377,0.024267899398510203,0.0,0.3647579958175508
obj_05.ply,22831,0.0031666733878604656,0.024170579177729298,0.0,0.3840457715759944
obj_06.ply,15736,0.0032411932455096225,0.02455606211146001,0.0,0.358059148875657
obj_07.ply,16573,0.003219025127998739,0.024499660568212324,0.0,0.38545251223029225
obj_08.ply,12655,0.0031947392615943415,0.024145384358781028,0.0,0.3544318115245714
obj_09.ply,7912,0.0034382215655553144,0.025847896922352724,0.0,0.3516693845384654
obj_10.ply,18473,0.003236397081987593,0.024261969707491667,0.0,0.3349912729954584
obj_11.ply,7479,0.003215177820694514,0.024634840401206077,0.0,0.3925133236105703
obj_12.ply,15972,0.003139402412706137,0.02391504189969303,0.0,0.36315778652203967
obj_13.ply,18216,0.00311983797594118,0.02364548150318479,0.0,0.3431975971661966
obj_14.ply,27435,0.0032099215021550507,0.024445552042562553,0.0,0.3697432486992788
obj_15.ply,16559,0.003226029565478234,0.024457930562172766,0.0,0.36853458994244476
