filename,num_vertices,mean_distance,std_distance,min_distance,max_distance
obj_01.ply,5841,3.3484203158799075,2.0472621526596613,0.02955834262101416,17.053681317498867
obj_02.ply,38325,6.8163600464240455,4.801345699903933,0.054867401750280105,41.345989316097885
obj_03.ply,40759,5.900455319435715,3.5276824136878857,0.05711497060889506,31.74554263313365
obj_04.ply,18995,5.701631619847386,3.4944027020028106,0.04796214983223721,28.45056408208105
obj_05.ply,22831,6.157480958424016,4.094704803930237,0.1388452234846086,37.42744750993007
obj_06.ply,15736,4.231878384593359,2.7654268149229044,0.05418254195439942,23.918891124557234
obj_07.ply,16573,3.952281121058384,2.4329158436521494,0.05612038994258537,16.693485622915198
obj_08.ply,12655,7.362043236004179,5.055683995296809,0.05024595877771801,44.4326291618113
obj_09.ply,7912,3.7527704871907868,2.343666111965891,0.04789688163108051,16.645909315719738
obj_10.ply,18473,4.942754751826177,3.0582516888181086,0.024879049791826688,24.065541323046034
obj_11.ply,7479,4.425652692149003,3.407482118604879,0.05371196984808598,35.85980925691938
obj_12.ply,15972,4.2965805843774705,2.4789224148745297,0.043472812685632314,20.31407011142504
obj_13.ply,18216,7.299794459023829,4.870296473151406,0.09519388143702977,45.62688386682421
obj_14.ply,27435,7.712264547785122,5.202737058132535,0.03295752123857972,39.66472873201328
obj_15.ply,16559,6.40775225688895,4.091603780677051,0.06253571475053411,34.37314518600187
